id	query	operator	side	expected	sub_semantics	super_semantics	sub_federation	super_federation
023-star_10-swap_constant	star_10	swap_constant	super	not contained	bag-set	bag-set		
024-star_local_10-widen_virtual_member	star_local_10	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c	http://example.org/a http://example.org/b
025-star_local_10-widen_virtual_member	star_local_10	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b http://example.org/c
026-star_100-add_fresh_variable_clause_at_contacted_member_to_sub	star_100	add_fresh_variable_clause_at_contacted_member_to_sub	sub	not contained	bag-set	bag-set		
027-star_100-add_fresh_variable_clause_at_new_member_to_sub	star_100	add_fresh_variable_clause_at_new_member_to_sub	sub	not contained	bag-set	bag-set		
028-star_100-add_member_to_super	star_100	add_member_to_super	super	not contained	bag-set	bag-set		
029-star_100-add_shared_variable_clause_to_sub	star_100	add_shared_variable_clause_to_sub	sub	contained	bag-set	bag-set		
030-star_local_100-assign_federation	star_local_100	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
031-star_100-bind_local_variable	star_100	bind_local_variable	sub	contained	bag-set	bag-set		
032-star_100-drop_head_variable	star_100	drop_head_variable	sub	not contained	bag-set	bag-set		
033-star_100-drop_head_variable	star_100	drop_head_variable	super	not contained	bag-set	bag-set		
034-star_100-drop_head_variable	star_100	drop_head_variable	both	contained	bag-set	bag-set		
035-star_100-drop_variable_from_super	star_100	drop_variable_from_super	super	not contained	bag-set	bag-set		
036-star_100-identity	star_100	identity	both	contained	bag-set	bag-set		
037-star_100-relax_clause	star_100	relax_clause	sub	not contained	bag-set	bag-set		
038-star_100-relax_clause	star_100	relax_clause	super	contained	bag-set	bag-set		
039-star_100-rename_local_variable	star_100	rename_local_variable	sub	contained	bag-set	bag-set		
040-star_100-rename_local_variable	star_100	rename_local_variable	super	contained	bag-set	bag-set		
041-star_100-rename_local_variable	star_100	rename_local_variable	both	contained	bag-set	bag-set		
042-star_100-rename_member	star_100	rename_member	sub	not contained	bag-set	bag-set		
043-star_100-rename_member	star_100	rename_member	super	not contained	bag-set	bag-set		
044-star_100-reorder_body	star_100	reorder_body	sub	contained	bag-set	bag-set		
045-star_100-reorder_body	star_100	reorder_body	super	contained	bag-set	bag-set		
046-star_100-reorder_body	star_100	reorder_body	both	contained	bag-set	bag-set		
047-star_100-swap_constant	star_100	swap_constant	sub	not contained	bag-set	bag-set		
048-star_100-swap_constant	star_100	swap_constant	super	not contained	bag-set	bag-set		
049-star_local_100-widen_virtual_member	star_local_100	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c	http://example.org/a http://example.org/b
050-star_local_100-widen_virtual_member	star_local_100	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b http://example.org/c
051-star_1000-add_fresh_variable_clause_at_contacted_member_to_sub	star_1000	add_fresh_variable_clause_at_contacted_member_to_sub	sub	not contained	bag-set	bag-set		
052-star_1000-add_fresh_variable_clause_at_new_member_to_sub	star_1000	add_fresh_variable_clause_at_new_member_to_sub	sub	not contained	bag-set	bag-set		
053-star_1000-add_member_to_super	star_1000	add_member_to_super	super	not contained	bag-set	bag-set		
054-star_1000-add_shared_variable_clause_to_sub	star_1000	add_shared_variable_clause_to_sub	sub	contained	bag-set	bag-set		
055-star_local_1000-assign_federation	star_local_1000	assign_federation	both	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b
056-star_1000-bind_local_variable	star_1000	bind_local_variable	sub	contained	bag-set	bag-set		
057-star_1000-drop_head_variable	star_1000	drop_head_variable	sub	not contained	bag-set	bag-set		
058-star_1000-drop_head_variable	star_1000	drop_head_variable	super	not contained	bag-set	bag-set		
059-star_1000-drop_head_variable	star_1000	drop_head_variable	both	contained	bag-set	bag-set		
060-star_1000-drop_variable_from_super	star_1000	drop_variable_from_super	super	not contained	bag-set	bag-set		
061-star_1000-identity	star_1000	identity	both	contained	bag-set	bag-set		
062-star_1000-relax_clause	star_1000	relax_clause	sub	not contained	bag-set	bag-set		
063-star_1000-relax_clause	star_1000	relax_clause	super	contained	bag-set	bag-set		
064-star_1000-rename_local_variable	star_1000	rename_local_variable	sub	contained	bag-set	bag-set		
065-star_1000-rename_local_variable	star_1000	rename_local_variable	super	contained	bag-set	bag-set		
066-star_1000-rename_local_variable	star_1000	rename_local_variable	both	contained	bag-set	bag-set		
067-star_1000-rename_member	star_1000	rename_member	sub	not contained	bag-set	bag-set		
068-star_1000-rename_member	star_1000	rename_member	super	not contained	bag-set	bag-set		
069-star_1000-reorder_body	star_1000	reorder_body	sub	contained	bag-set	bag-set		
070-star_1000-reorder_body	star_1000	reorder_body	super	contained	bag-set	bag-set		
071-star_1000-reorder_body	star_1000	reorder_body	both	contained	bag-set	bag-set		
072-star_1000-swap_constant	star_1000	swap_constant	sub	not contained	bag-set	bag-set		
073-star_1000-swap_constant	star_1000	swap_constant	super	not contained	bag-set	bag-set		
074-star_local_1000-widen_virtual_member	star_local_1000	widen_virtual_member	sub	not contained	bag	bag	http://example.org/a http://example.org/b http://example.org/c	http://example.org/a http://example.org/b
075-star_local_1000-widen_virtual_member	star_local_1000	widen_virtual_member	super	contained	bag	bag	http://example.org/a http://example.org/b	http://example.org/a http://example.org/b http://example.org/c
